Time [hr],Well,PCAred fluorescence (AU),Strain,Medium,Condition,Condition Conc. (µM),OD600
9.061,A1,8902,calibration,basal medium,PCA,800,0.076
9.144,A1,8917,calibration,basal medium,PCA,800,0.077
9.228,A1,8901,calibration,basal medium,PCA,800,0.076
9.311,A1,8873,calibration,basal medium,PCA,800,0.076
9.394,A1,8934,calibration,basal medium,PCA,800,0.076
9.478,A1,8908,calibration,basal medium,PCA,800,0.077
9.561,A1,8881,calibration,basal medium,PCA,800,0.077
9.644,A1,8906,calibration,basal medium,PCA,800,0.076
9.728,A1,8874,calibration,basal medium,PCA,800,0.077
9.811,A1,8904,calibration,basal medium,PCA,800,0.076
9.894,A1,8877,calibration,basal medium,PCA,800,0.076
9.978,A1,8917,calibration,basal medium,PCA,800,0.076
10.061,A1,8932,calibration,basal medium,PCA,800,0.076
10.144,A1,8913,calibration,basal medium,PCA,800,0.076
10.228,A1,8907,calibration,basal medium,PCA,800,0.076
10.311,A1,8901,calibration,basal medium,PCA,800,0.076
10.394,A1,8919,calibration,basal medium,PCA,800,0.076
10.478,A1,8885,calibration,basal medium,PCA,800,0.076
10.561,A1,8915,calibration,basal medium,PCA,800,0.076
10.644,A1,8941,calibration,basal medium,PCA,800,0.076
10.728,A1,8925,calibration,basal medium,PCA,800,0.076
10.811,A1,8894,calibration,basal medium,PCA,800,0.076
10.894,A1,8900,calibration,basal medium,PCA,800,0.076
10.978,A1,8909,calibration,basal medium,PCA,800,0.076
11.061,A1,8920,calibration,basal medium,PCA,800,0.076
11.144,A1,8905,calibration,basal medium,PCA,800,0.076
11.228,A1,8890,calibration,basal medium,PCA,800,0.076
11.311,A1,8887,calibration,basal medium,PCA,800,0.076
11.394,A1,8927,calibration,basal medium,PCA,800,0.077
11.478,A1,8938,calibration,basal medium,PCA,800,0.076
11.561,A1,8921,calibration,basal medium,PCA,800,0.076
11.644,A1,8894,calibration,basal medium,PCA,800,0.076
11.728,A1,8927,calibration,basal medium,PCA,800,0.077
11.811,A1,8939,calibration,basal medium,PCA,800,0.076
11.894,A1,8882,calibration,basal medium,PCA,800,0.076
11.978,A1,8899,calibration,basal medium,PCA,800,0.076
12.061,A1,8893,calibration,basal medium,PCA,800,0.076
12.144,A1,8892,calibration,basal medium,PCA,800,0.076
12.228,A1,8929,calibration,basal medium,PCA,800,0.076
12.311,A1,8929,calibration,basal medium,PCA,800,0.076
12.394,A1,8926,calibration,basal medium,PCA,800,0.076
12.478,A1,8927,calibration,basal medium,PCA,800,0.076
12.561,A1,8915,calibration,basal medium,PCA,800,0.076
12.644,A1,8914,calibration,basal medium,PCA,800,0.076
12.728,A1,8929,calibration,basal medium,PCA,800,0.076
12.811,A1,8935,calibration,basal medium,PCA,800,0.076
12.894,A1,8924,calibration,basal medium,PCA,800,0.076
12.978,A1,8920,calibration,basal medium,PCA,800,0.076
13.061,A1,8922,calibration,basal medium,PCA,800,0.076
13.144,A1,8930,calibration,basal medium,PCA,800,0.076
13.228,A1,8904,calibration,basal medium,PCA,800,0.076
13.311,A1,8912,calibration,basal medium,PCA,800,0.077
13.394,A1,8920,calibration,basal medium,PCA,800,0.076
13.478,A1,8903,calibration,basal medium,PCA,800,0.076
13.561,A1,8924,calibration,basal medium,PCA,800,0.076
13.644,A1,8927,calibration,basal medium,PCA,800,0.076
13.728,A1,8896,calibration,basal medium,PCA,800,0.076
13.811,A1,8932,calibration,basal medium,PCA,800,0.077
13.894,A1,8915,calibration,basal medium,PCA,800,0.076
13.978,A1,8934,calibration,basal medium,PCA,800,0.076
14.061,A1,8910,calibration,basal medium,PCA,800,0.076
14.144,A1,8916,calibration,basal medium,PCA,800,0.076
14.228,A1,8943,calibration,basal medium,PCA,800,0.076
14.311,A1,8870,calibration,basal medium,PCA,800,0.076
14.394,A1,8927,calibration,basal medium,PCA,800,0.076
14.478,A1,8929,calibration,basal medium,PCA,800,0.076
14.561,A1,8901,calibration,basal medium,PCA,800,0.076
14.644,A1,8929,calibration,basal medium,PCA,800,0.075
14.728,A1,8944,calibration,basal medium,PCA,800,0.076
14.811,A1,8889,calibration,basal medium,PCA,800,0.076
14.894,A1,8921,calibration,basal medium,PCA,800,0.077
14.978,A1,8902,calibration,basal medium,PCA,800,0.077
15.061,A1,8919,calibration,basal medium,PCA,800,0.076
15.144,A1,8886,calibration,basal medium,PCA,800,0.076
15.228,A1,8922,calibration,basal medium,PCA,800,0.076
15.311,A1,8926,calibration,basal medium,PCA,800,0.076
15.394,A1,8917,calibration,basal medium,PCA,800,0.076
15.478,A1,8923,calibration,basal medium,PCA,800,0.076
15.561,A1,8910,calibration,basal medium,PCA,800,0.076
15.644,A1,8953,calibration,basal medium,PCA,800,0.076
15.728,A1,8959,calibration,basal medium,PCA,800,0.076
15.811,A1,8936,calibration,basal medium,PCA,800,0.076
15.894,A1,8941,calibration,basal medium,PCA,800,0.076
15.978,A1,8940,calibration,basal medium,PCA,800,0.076
16.061,A1,8930,calibration,basal medium,PCA,800,0.076
16.144,A1,8892,calibration,basal medium,PCA,800,0.076
16.228,A1,8936,calibration,basal medium,PCA,800,0.076
16.311,A1,8926,calibration,basal medium,PCA,800,0.076
16.394,A1,8928,calibration,basal medium,PCA,800,0.076
16.478,A1,8912,calibration,basal medium,PCA,800,0.076
16.561,A1,8923,calibration,basal medium,PCA,800,0.076
16.644,A1,8955,calibration,basal medium,PCA,800,0.076
16.728,A1,8956,calibration,basal medium,PCA,800,0.077
16.811,A1,8945,calibration,basal medium,PCA,800,0.076
16.894,A1,8922,calibration,basal medium,PCA,800,0.076
16.978,A1,8926,calibration,basal medium,PCA,800,0.076
17.061,A1,8916,calibration,basal medium,PCA,800,0.076
17.144,A1,8891,calibration,basal medium,PCA,800,0.076
17.228,A1,8915,calibration,basal medium,PCA,800,0.075
17.311,A1,8874,calibration,basal medium,PCA,800,0.075
17.394,A1,8919,calibration,basal medium,PCA,800,0.075
17.478,A1,8922,calibration,basal medium,PCA,800,0.076
17.561,A1,8928,calibration,basal medium,PCA,800,0.076
17.644,A1,8883,calibration,basal medium,PCA,800,0.075
17.728,A1,8937,calibration,basal medium,PCA,800,0.076
17.811,A1,8921,calibration,basal medium,PCA,800,0.076
17.894,A1,8920,calibration,basal medium,PCA,800,0.076
17.978,A1,8925,calibration,basal medium,PCA,800,0.076
18.061,A1,8920,calibration,basal medium,PCA,800,0.076
18.144,A1,8928,calibration,basal medium,PCA,800,0.076
18.228,A1,8867,calibration,basal medium,PCA,800,0.076
18.311,A1,8930,calibration,basal medium,PCA,800,0.075
18.394,A1,8919,calibration,basal medium,PCA,800,0.075
18.478,A1,8883,calibration,basal medium,PCA,800,0.075
18.561,A1,8943,calibration,basal medium,PCA,800,0.076
18.644,A1,8891,calibration,basal medium,PCA,800,0.076
18.728,A1,8931,calibration,basal medium,PCA,800,0.076
18.811,A1,8944,calibration,basal medium,PCA,800,0.076
18.894,A1,8911,calibration,basal medium,PCA,800,0.075
18.978,A1,8919,calibration,basal medium,PCA,800,0.076
19.061,A1,8917,calibration,basal medium,PCA,800,0.076
19.144,A1,8935,calibration,basal medium,PCA,800,0.076
19.228,A1,8940,calibration,basal medium,PCA,800,0.076
19.311,A1,8922,calibration,basal medium,PCA,800,0.076
19.394,A1,8966,calibration,basal medium,PCA,800,0.076
19.478,A1,8967,calibration,basal medium,PCA,800,0.076
19.561,A1,8918,calibration,basal medium,PCA,800,0.076
19.644,A1,8936,calibration,basal medium,PCA,800,0.076
19.728,A1,8934,calibration,basal medium,PCA,800,0.076
19.811,A1,8955,calibration,basal medium,PCA,800,0.076
19.894,A1,8971,calibration,basal medium,PCA,800,0.076
19.978,A1,8936,calibration,basal medium,PCA,800,0.076
20.061,A1,8969,calibration,basal medium,PCA,800,0.076
20.144,A1,8919,calibration,basal medium,PCA,800,0.076
20.228,A1,8959,calibration,basal medium,PCA,800,0.075
20.311,A1,8955,calibration,basal medium,PCA,800,0.076
20.394,A1,8977,calibration,basal medium,PCA,800,0.076
20.478,A1,8946,calibration,basal medium,PCA,800,0.076
20.561,A1,8963,calibration,basal medium,PCA,800,0.076
20.644,A1,8941,calibration,basal medium,PCA,800,0.075
20.728,A1,8954,calibration,basal medium,PCA,800,0.076
20.811,A1,8915,calibration,basal medium,PCA,800,0.076
20.894,A1,8945,calibration,basal medium,PCA,800,0.075
20.978,A1,8965,calibration,basal medium,PCA,800,0.076
21.061,A1,8942,calibration,basal medium,PCA,800,0.076
21.144,A1,8923,calibration,basal medium,PCA,800,0.076
21.228,A1,8942,calibration,basal medium,PCA,800,0.076
21.311,A1,8959,calibration,basal medium,PCA,800,0.076
21.394,A1,8925,calibration,basal medium,PCA,800,0.076
21.478,A1,8937,calibration,basal medium,PCA,800,0.076
21.561,A1,8953,calibration,basal medium,PCA,800,0.076
21.644,A1,8947,calibration,basal medium,PCA,800,0.076
21.728,A1,8977,calibration,basal medium,PCA,800,0.076
21.811,A1,8939,calibration,basal medium,PCA,800,0.075
21.894,A1,8934,calibration,basal medium,PCA,800,0.076
21.978,A1,8934,calibration,basal medium,PCA,800,0.076
22.061,A1,8948,calibration,basal medium,PCA,800,0.076
22.144,A1,8964,calibration,basal medium,PCA,800,0.076
22.228,A1,8972,calibration,basal medium,PCA,800,0.076
22.311,A1,8930,calibration,basal medium,PCA,800,0.076
22.394,A1,8974,calibration,basal medium,PCA,800,0.076
22.478,A1,8925,calibration,basal medium,PCA,800,0.075
22.561,A1,8969,calibration,basal medium,PCA,800,0.076
22.644,A1,8959,calibration,basal medium,PCA,800,0.076
22.728,A1,8988,calibration,basal medium,PCA,800,0.076
22.811,A1,8945,calibration,basal medium,PCA,800,0.076
22.894,A1,8954,calibration,basal medium,PCA,800,0.076
22.978,A1,8974,calibration,basal medium,PCA,800,0.076
23.061,A1,8961,calibration,basal medium,PCA,800,0.075
23.144,A1,8946,calibration,basal medium,PCA,800,0.076
23.228,A1,8963,calibration,basal medium,PCA,800,0.076
23.311,A1,8970,calibration,basal medium,PCA,800,0.076
23.394,A1,8939,calibration,basal medium,PCA,800,0.076
23.478,A1,8945,calibration,basal medium,PCA,800,0.077
23.561,A1,8945,calibration,basal medium,PCA,800,0.076
23.644,A1,8973,calibration,basal medium,PCA,800,0.076
23.728,A1,8978,calibration,basal medium,PCA,800,0.076
23.811,A1,8994,calibration,basal medium,PCA,800,0.077
23.894,A1,8977,calibration,basal medium,PCA,800,0.076
23.978,A1,8955,calibration,basal medium,PCA,800,0.076
24.061,A1,8949,calibration,basal medium,PCA,800,0.076
0.061,A2,7770,calibration,basal medium,PCA,400,0.077
0.144,A2,7803,calibration,basal medium,PCA,400,0.077
0.228,A2,7831,calibration,basal medium,PCA,400,0.077
0.311,A2,7864,calibration,basal medium,PCA,400,0.078
0.394,A2,7865,calibration,basal medium,PCA,400,0.077
0.478,A2,7884,calibration,basal medium,PCA,400,0.077
0.561,A2,7868,calibration,basal medium,PCA,400,0.077
0.644,A2,7924,calibration,basal medium,PCA,400,0.078
0.728,A2,7899,calibration,basal medium,PCA,400,0.077
0.811,A2,7936,calibration,basal medium,PCA,400,0.077
0.894,A2,7904,calibration,basal medium,PCA,400,0.078
0.978,A2,7940,calibration,basal medium,PCA,400,0.078
1.061,A2,7922,calibration,basal medium,PCA,400,0.079
1.144,A2,7923,calibration,basal medium,PCA,400,0.078
1.228,A2,7920,calibration,basal medium,PCA,400,0.078
1.311,A2,7945,calibration,basal medium,PCA,400,0.078
1.394,A2,7902,calibration,basal medium,PCA,400,0.079
1.478,A2,7921,calibration,basal medium,PCA,400,0.078
1.561,A2,7914,calibration,basal medium,PCA,400,0.078
1.644,A2,7941,calibration,basal medium,PCA,400,0.078
1.728,A2,7967,calibration,basal medium,PCA,400,0.078
1.811,A2,7967,calibration,basal medium,PCA,400,0.078
1.894,A2,7972,calibration,basal medium,PCA,400,0.078
1.978,A2,7940,calibration,basal medium,PCA,400,0.078
2.061,A2,7959,calibration,basal medium,PCA,400,0.078
2.144,A2,7947,calibration,basal medium,PCA,400,0.078
2.228,A2,7945,calibration,basal medium,PCA,400,0.079
2.311,A2,7970,calibration,basal medium,PCA,400,0.079
2.394,A2,7931,calibration,basal medium,PCA,400,0.078
2.478,A2,7952,calibration,basal medium,PCA,400,0.078
2.561,A2,7927,calibration,basal medium,PCA,400,0.078
2.644,A2,7907,calibration,basal medium,PCA,400,0.078
2.728,A2,7919,calibration,basal medium,PCA,400,0.078
2.811,A2,7991,calibration,basal medium,PCA,400,0.078
2.894,A2,7979,calibration,basal medium,PCA,400,0.079
2.978,A2,7950,calibration,basal medium,PCA,400,0.078
3.061,A2,7965,calibration,basal medium,PCA,400,0.078
3.144,A2,7963,calibration,basal medium,PCA,400,0.078
3.228,A2,7955,calibration,basal medium,PCA,400,0.078
3.311,A2,7973,calibration,basal medium,PCA,400,0.078
3.394,A2,7954,calibration,basal medium,PCA,400,0.078
3.478,A2,7943,calibration,basal medium,PCA,400,0.078
3.561,A2,7950,calibration,basal medium,PCA,400,0.078
3.644,A2,7992,calibration,basal medium,PCA,400,0.078
3.728,A2,7955,calibration,basal medium,PCA,400,0.079
3.811,A2,7957,calibration,basal medium,PCA,400,0.078
3.894,A2,7939,calibration,basal medium,PCA,400,0.078
3.978,A2,7991,calibration,basal medium,PCA,400,0.077
4.061,A2,8005,calibration,basal medium,PCA,400,0.077
4.144,A2,7983,calibration,basal medium,PCA,400,0.078
4.228,A2,7975,calibration,basal medium,PCA,400,0.077
4.311,A2,7964,calibration,basal medium,PCA,400,0.077
4.394,A2,7958,calibration,basal medium,PCA,400,0.078
4.478,A2,8002,calibration,basal medium,PCA,400,0.077
4.561,A2,8011,calibration,basal medium,PCA,400,0.077
4.644,A2,7982,calibration,basal medium,PCA,400,0.077
4.728,A2,7970,calibration,basal medium,PCA,400,0.078
4.811,A2,8007,calibration,basal medium,PCA,400,0.078
4.894,A2,7981,calibration,basal medium,PCA,400,0.078
4.978,A2,7997,calibration,basal medium,PCA,400,0.078
5.061,A2,7987,calibration,basal medium,PCA,400,0.078
5.144,A2,7993,calibration,basal medium,PCA,400,0.078
5.228,A2,8022,calibration,basal medium,PCA,400,0.078
5.311,A2,7989,calibration,basal medium,PCA,400,0.077
5.394,A2,7976,calibration,basal medium,PCA,400,0.078
5.478,A2,7980,calibration,basal medium,PCA,400,0.078
5.561,A2,7988,calibration,basal medium,PCA,400,0.077
5.644,A2,7994,calibration,basal medium,PCA,400,0.078
5.728,A2,7977,calibration,basal medium,PCA,400,0.077
5.811,A2,7999,calibration,basal medium,PCA,400,0.077
5.894,A2,7990,calibration,basal medium,PCA,400,0.078
5.978,A2,7992,calibration,basal medium,PCA,400,0.078
6.061,A2,7970,calibration,basal medium,PCA,400,0.078
6.144,A2,7967,calibration,basal medium,PCA,400,0.077
6.228,A2,7992,calibration,basal medium,PCA,400,0.077
6.311,A2,7960,calibration,basal medium,PCA,400,0.077
6.394,A2,7951,calibration,basal medium,PCA,400,0.077
6.478,A2,7985,calibration,basal medium,PCA,400,0.077
6.561,A2,7992,calibration,basal medium,PCA,400,0.077
6.644,A2,7993,calibration,basal medium,PCA,400,0.078
6.728,A2,8016,calibration,basal medium,PCA,400,0.076
6.811,A2,8012,calibration,basal medium,PCA,400,0.077
6.894,A2,7997,calibration,basal medium,PCA,400,0.077
6.978,A2,7996,calibration,basal medium,PCA,400,0.077
7.061,A2,7996,calibration,basal medium,PCA,400,0.077
7.144,A2,7997,calibration,basal medium,PCA,400,0.077
7.228,A2,8034,calibration,basal medium,PCA,400,0.077
7.311,A2,8018,calibration,basal medium,PCA,400,0.077
7.394,A2,8005,calibration,basal medium,PCA,400,0.077
